N. Tomba,Bibliografia essenziale
171,"Berti 1983, p. 45; Trevisanello 2024"
172,"Berti 1983, p. 45; Pozzi 2011; Trevisanello 2024"
173,"Berti 1983, p. 45; Trevisanello 2024"
174,Serra 2014-2015
175,Pozzi 2011; Serra 2014-2015
176,"Negrioli 1924, p. 297; Trevisanello 2024"
177,"Negrioli 1924, p. 295 e 297; Trevisanello 2024"
178,"Berti 1983, p. 45; Pozzi 2011; Trevisanello 2024"
179,"Negrioli 1924, p. 294, nota 3, p. 295; Trevisanello 2024"
180,"Cornelio Cassai 1993, p. 330; Serra 2014-2015"
181,"Negrioli 1924, p. 297; Serra 2014-2015"
182,"Negrioli 1924, pp. 295-297; Berti 1983, p. 46; Serra 2014-2015"
183,"Negrioli 1924, p. 295 e nota 3 di p. 294; Serra 2014-2015"
184,Serra 2014-2015
185,Serra 2014-2015
186,Trevisanello 2024
187,Trevisanello 2024
188,"Berti 1983, p. 45; Serra 2014-2015"
189,Serra 2014-2015
190,Trevisanello 2024
191,Trevisanello 2024
192,Trevisanello 2024
193,Trevisanello 2024
194,"Berti 1983, p. 44; Trevisanello 2024"
195,"Negrioli 1924, p. 301; Trevisanello 2024"
196,"Pozzi 2011; Aurigemma 1965, p. 99; Negrioli 1924, p. 319; Parrini 1993a, p. 276 ; Uggeri 1978, p. 374; Serra 2014-2015"
197,"Berti 1983, p. 44; Trevisanello 2024"
198,Trevisanello 2024
199,"Pozzi 2011; Negrioli 1924, p. 295; Uggeri 1978, n. 54b, p. 389; Serra 2014-2015"
200,"Aurigemma 1965, p. 53-54, tavv. 54-58; Pozzi 2011; Uggeri 1978, n. 42, p. 379; Trevisanello 2024"
201,"Baldoni 1981, pp. 22, 72-73, tav. II, n. 4; Berti, Guzzo 1993, pp. 276-277, nn. 158-159; Trevisanello 2024"
202,"Negrioli 1924, p. 297; Trevisanello 2024"
203.1,"Camerin 1993b, p. 338; Negrioli 1924, p. 297, 301; Aurigemma 1960, pp. 130-133, tavv. 151-153; Hostetter 1986, pp. 96-97, n. 62; Trevisanello 2024"
203.2,"Camerin 1993b, p. 338; Negrioli 1924, p. 297, 301; Aurigemma 1960, pp. 130-133, tavv. 151-153; Hostetter 1986, pp. 96-97, n. 62; Trevisanello 2024"
204,"Berti 1983, p. 44; Poggio 1974, pp. 42, n.38-38a, tav. III, 1-2, fig. 60; Ruscelli 2014-2015"
205,"Baldoni 1981, pp. 164-165, n. 135, tav. XXXIX; Trevisanello 2024"
206,"Berti 1983, p. 44; Negrioli 1924 p. 295 nota 2; Ruscelli 2014-2015"
207,"Baldoni 1981, pp. 90-91, n. 31; Ruscelli 2014-2015"
208,Trevisanello 2024
209,"Baldoni 1981, p. 83; Trevisanello 2024"
210,Trevisanello 2024
211,"Baldoni 1981, p. 139, n. 101; Trevisanello 2024"
212,"Berti 1983, p. 44; Trevisanello 2024"
213,"Berti 1983, p. 45; Pozzi 2011; Uggeri 1978, n. 20, pp. 358-359; Trevisanello 2024"
214,"Berti 1983, p. 44; Poggio 1974, p. 37, n. 26 e pp. 89-90, n. 151, tav. XXIII,2 fig. 30; Trevisanello 2024"
215,"Berti 1983, p. 44; Trevisanello 2024"
216,"Baldoni 1981, pp. 79-80, n. 16, tav. VI; Trevisanello 2024"
217,"Berti 1983, p. 44; Serra 2014-2015"
218,"Uggeri 1978, n. 3a, p. 343; Berti 1983, p. 45; Pozzi 2011; Serra 2014-2015"
219,Serra 2014-2015
220,Serra 2014-2015
221,"Berti 1983, p. 43; Negrioli 1924, p. 301; Serra 2022; Serra 2025, p. 234"
222,Romagnoli 2015
223,"Romagnoli 2015; Trevisanello in Spina 2022, pp. 69-70."
224,"Negrioli 1927, pp. 246-249; Aurigemma 1965, pp. 132-133, tavv. 161-162; Berti 1983, p. 44; Romagnoli 2015; Trevisanello in Spina 2022, pp. 74-75; Romagnoli in Spina 2023, p. 172; Timossi in Rasna 2019, pp. 413-414"
225,Romagnoli 2015
226,Romagnoli 2015
227,Pozzi 2011; Trevisanello 2024
228,"Romagnoli 2015; Parrini 2021, p. 290."
229,"Negrioli 1927, pp. 149-150; Serra 2014-2015"
230,"Negrioli 1927, p. 150; Serra 2014-2015"
231,"Negrioli 1927, p. 150; Baldoni 1993, p. 116, tav.5; Serra 2014-2015; Serra in Spina 2023, p. 439"
232,"Negrioli 1927, p. 150; Serra 2014-2015"
233,"Negrioli 1927, pp. 150-151; Berti 1983, p. 44; Serra 2014-2015; Serra 2025, p. 235; Serra in Spina 2023, pp. 173-175; Timossi in Rasna 2019, p. 412"
234,"Baldoni 1981, pp. 94-95, n.38; Natalucci 2014-2015"
235,"Negrioli 1927, p. 151; Berti 1983, p. 48; Berti 1989, p. 39; Serra 2014-2015"
236,"Negrioli 1927, p.151; Berti 1983, p.46; Serra 2014-2015"
237,"Berti 1983, p. 44; Natalucci 2014-2015; Natalucci in Spina 2023, p. 90"
238,"Baldoni 1981, pp. 136-137, n. 97, tav. XXV; Serra 2014-2015"
239,"Negrioli 1927, pp. 151-152; Massei 1978, pp. 101-102, n. 66, Tav. XXVII,1; Natalucci 2014-2015"
240,"Berti 1983, p. 44;  Natalucci 2014-2015"
241,"Negrioli 1927, p. 152, fig. 4; Berti 1991, p. 18; Natalucci 2014-2015"
242,Serra 2014-2015
243,Serra 2014-2015
244,Serra 2014-2015
245,"Negrioli 1927, pp. 153-154 f. 9; Berti 1983, p. 43; Pozzi 2011; Serra 2014-2015; Serra in Spina 2023, p. 310"
246,Serra 2014-2015
247,"Negrioli 1927, p. 154; Hostetter 2001, pp. 74-75; Natalucci 2014-2015"
248,"Natalucci 2014-2015; Parrini 2021, pp. 290-291"
249,Romagnoli 2015
250,"Negrioli 1927, pp. 154-155; Trevisanello 2024"
251,Trevisanello 2024
252,Natalucci 2014-2015
253,"Negrioli 1927, p. 192; Berti 1991, p. 19; Gaucci 2014"
254,Gaucci 2014
255,"Negrioli 1927, p. 145; Gaucci 2014"
256,"Negrioli 1927, p. 156; Massei 1978, pp. 15-17; Gaucci 2014"
257,"Baldoni 1981, p. 149, n. 118; Gaucci 2014"
258,"Negrioli 1927, pp. 156-157; Pozzi 2011; Trevisanello 2024"
259,"Baldoni 1981, pp. 107-108, n. 60; Gaucci 2014"
260,"Negrioli 1927, p. 157; Gaucci 2014"
261,"Negrioli 1927, pp. 158-159; Pozzi 2011; Uggeri 1978, n. 13a, p. 353; Parrini 2021, pp. 291-292; Trevisanello 2024"
262,"Negrioli 1927, pp. 158-159; Uggeri 1978, p. 358; Pozzi 2011; Serra 2022; Serra in Spina 2023, p. 207; Serra 2025, p. 235"
263,"Negrioli 1927, p. 159; Gaucci 2014"
264,"Negrioli 1927, pp. 159-160, tav. XIV; Aurigemma 1960, pp. 175-178, tavv. 202-205; Gaucci 2014; Serra in Spina 2022, pp. 112-113; Serra in Spina 2023, pp. 160-162"
265,Gaucci 2014
266,"Negrioli 1927, pp. 145 e 193; Berti 1983, p. 109; Gaucci 2014"
267,"Gaucci 2014; Desantis in Rasna 2019, p. 415"
268,"Serra 2022; Serra in Spina 2023, pp. 163-164; Serra 2025, p. 232"
269,"Negrioli 1927, p. 160; Gaucci 2014"
270,Gaucci 2014
