Tomba n°:,Anno di rinvenimento,Stato di conservazione della tomba,Rito di seppellimento,Struttura tomba,Profondità dal piano di campagna,Dimensioni della sepoltura,Orientamento dello scheletro,Segnacolo,Posizione del corredo,Genere,Sesso,Classi di età
236,1924,sconvolta,Non definibile,Non determinabile,0.6,Dimensioni non registrate,Non determinabile,/,Oggetti in gruppo privi di tracce del defunto,Femminile ?,Non determinabile,Non determinabile
265,1924,Resti non rinvenuti,Non definibile,"fossa semplice, forma non registrata",0.85,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Femminile ?,Non determinabile,Non determinabile
273,1924,Sconvolta,Non definibile,"fossa semplice, forma non registrata",0.4,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Femminile ?,Non determinabile,Subadulto ?
277,1924,Resti non rinvenuti,Non definibile,"fossa semplice, forma non registrata",1.1,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Femminile,Femminile ?,Non determinabile
290,1924,Sconvolta,Non definibile,"fossa semplice, forma non registrata",0.9,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
299,1924,Sconvolta,Non definibile,"fossa semplice, forma non registrata",0.8,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
324,1924,Resti non rinvenuti,Non definibile,Non determinabile,0.8,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
353,1925,Resti non rinvenuti,Non definibile,Non determinabile,0.8,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Femminile,Non determinabile,Subadulto ?
359,1925,Resti non rinvenuti,Non definibile,"fossa semplice, forma non registrata",0.99,Dimensioni non registrate,Non determinabile,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
360,1925,Resti non rinvenuti,Non definibile,Non determinabile,1,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Femminile,Femminile ?,Non determinabile
367,1925,Resti non rinvenuti,Non definibile,"fossa semplice, forma non registrata",0.6,Dimensioni non registrate,Non determinabile,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
407,1925,Sconvolta,Non definibile,"fossa semplice, forma non registrata",1,Dimensioni non registrate,/,Ciottolo fluviale,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
481,1926,Resti non rinvenuti,Non definibile,"fossa semplice, forma non registrata",0.56,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
490,1926,Intatta,Non definibile,"fossa semplice, forma non registrata",1.2,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Subadulto
522,1926,Intatta,Non definibile,Non determinabile,1,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
531,1926,Resti non rinvenuti,Non definibile,"fossa semplice, forma non registrata",1.1,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
532,1926,Resti non rinvenuti,Non definibile,"fossa semplice, forma non registrata",1.2,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
606,1926,sconvolta,Non definibile,Non determinabile,0.9,Dimensioni non registrate,Non determinabile,/,In frammenti misti alle ossa del defunto,Non determinabile,Femminile ?,
628,1927,Resti non rinvenuti,Non definibile,"fossa semplice, forma non registrata",0.7,Dimensioni non registrate,Non determinabile,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,
640,1927,Resti non rinvenuti,Non definibile,"fossa semplice, forma non registrata",0.7,Dimensioni non registrate,Non determinabile,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Subadulto ?
662,1927,Resti non rinvenuti,Non definibile,"fossa semplice, forma non registrata",0.62,Dimensioni non registrate,Non determinabile,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
707,1927,Resti non rinvenuti,Non definibile,,1.04,Dimensioni non registrate,Non determinabile,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
805,1927,Resti non rinvenuti,Non definibile,Non determinabile,0.74,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
817,1927,Resti non rinvenuti,Non definibile,Non determinabile,1,Dimensioni non registrate,Non determinabile,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
830,1927,Resti non rinvenuti,Non definibile,,1,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Subadulto ?
878,1927,Resti non rinvenuti,Non definibile,Non determinabile,0.43,Dimensioni non registrate,Non determinabile,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,
884,1927,Resti non rinvenuti,Non definibile,"fossa semplice, forma non registrata",0.9,Dimensioni non registrate,/,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
961,1927,Sconvolta,Non definibile,"fossa semplice, forma non registrata",0.7,Dimensioni non registrate,Non determinabile,/,Oggetti in gruppo privi di tracce del defunto,Non determinabile,Non determinabile,Non determinabile
